行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	yuuki	彼を返して！	
1	00:00:00	桔梗	大佐ァ！	
2	00:00:00	Loki GH	相変わらず、後方側近面したくなる大魔王様だ	
3	00:00:00	アルフォンス・ミュシャ	大佐ァ！！！	
4	00:00:00	湯葉	なにやってんだ大佐ァ！	
5	00:00:00	雪解け水	大佐ァ！	
6	00:00:00	シノ	スパチャじゃないこすふぃん初めて見た	
7	00:00:00	はらまき	スポンサーづら	
8	00:00:00	矢尾プリンス	魔王様たすけて！	
9	00:00:00	かみだよ.	わくてか	
10	00:00:00	るるる	事故なので保険がおります	￥500
11	00:00:00	EEB	人のチャンネル爆破は楽しいぞい！	￥200
12	00:00:00	むぎやちゃんねる	楽しかったです、全員登録します	￥200
13	00:00:00	potage10	おつかれさま	￥500
14	00:00:00	イヌージョンCHANNEL	お疲れ様でした！	￥500
15	00:00:08	MIKO MMM	大佐まできた	
16	00:00:08	グピ	大佐ァ！さっきぶり！	
17	00:00:10	ヨロヨロヨロロ	BANクゥバー	
18	00:00:10	蒼井時雨	きたか	
19	00:00:11	MononokeTiramis	大佐ァ生放送お疲れ様！	
20	00:00:11	ナッツ店長	もうＢＡＮされてる。	
21	00:00:13	マキシマムイモ	きちゃうのか？	
22	00:00:13	ぽーちき	きた	
23	00:00:13	鼠犬/チューケン	きたきた	
24	00:00:14	Yuuki Kamei	きたー	
25	00:00:14	Luce	わくわく	
26	00:00:14	no on	きたあああああああああああああ	
27	00:00:15	はてら	お	
28	00:00:15	陰獣	こんばんは	
29	00:00:15	しまこ	大魔王様がいらっしゃる！！	
30	00:00:15	たぬたぬ	大佐ァ！	
31	00:00:15	あああいいい	もうやばい	
32	00:00:15	そで	さぁ終わりの始まりだぞ	
33	00:00:15	ジョナサン・グレーン	^_^大佐ァ！さっきぶりだな！	
34	00:00:16	マスターさん	ｷﾀ――(ﾟ∀ﾟ)――!!	
35	00:00:16	なまこ	終わりの始まり	
36	00:00:16	Amserd	大佐まで	
37	00:00:16	Ask Y	春のBAN祭りが…始まる！	
38	00:00:16	さいおーまる	お	
39	00:00:16	こいこいちゃんねる Koikoi Channel	21時だよ！	
40	00:00:17	譲友城星	ｗｗｗｗｗｗ	
41	00:00:17	0126キルノ	待機	
42	00:00:17	おしょう	おっ	
43	00:00:17	Charocharo/챠로	BAN BAN	
44	00:00:17	ハチ	きたー！	
45	00:00:17	もっけい	淫淫淫淫	
46	00:00:17	ビスケット・ココア	やったぜ。	
47	00:00:17	ぴねかっと	きた	
48	00:00:17	- 567	きたあああ	
49	00:00:18	暁に堕つ	大佐ァ！	
50	00:00:18	にぼっしー	始まった	
51	00:00:18	十手	いくぜいくぜいくぜいくぜ！	
52	00:00:18	阿久津零	はじまったーーーー	
54	00:00:19	ぎゅー肉	ざわ…ざわ	
55	00:00:19	史上最強のダニ	大乱○はまだかい？	
56	00:00:19	餃子の皮むき	来た	
57	00:00:00	yuuki	彼を返して！	
58	00:00:00	桔梗	大佐ァ！	
59	00:00:00	Loki GH	相変わらず、後方側近面したくなる大魔王様だ	
60	00:00:00	アルフォンス・ミュシャ	大佐ァ！！！	
61	00:00:00	湯葉	なにやってんだ大佐ァ！	
62	00:00:00	雪解け水	大佐ァ！	
63	00:00:00	シノ	スパチャじゃないこすふぃん初めて見た	
64	00:00:00	はらまき	スポンサーづら	
65	00:00:00	矢尾プリンス	魔王様たすけて！	
66	00:00:00	かみだよ.	わくてか	
67	00:00:00	るるる	事故なので保険がおります	￥500
68	00:00:00	EEB	人のチャンネル爆破は楽しいぞい！	￥200
69	00:00:00	むぎやちゃんねる	楽しかったです、全員登録します	￥200
70	00:00:00	potage10	おつかれさま	￥500
71	00:00:00	イヌージョンCHANNEL	お疲れ様でした！	￥500
72	00:00:08	MIKO MMM	大佐まできた	
73	00:00:08	グピ	大佐ァ！さっきぶり！	
74	00:00:10	ヨロヨロヨロロ	BANクゥバー	
75	00:00:10	蒼井時雨	きたか	
76	00:00:11	MononokeTiramis	大佐ァ生放送お疲れ様！	
77	00:00:11	ナッツ店長	もうＢＡＮされてる。	
78	00:00:13	マキシマムイモ	きちゃうのか？	
79	00:00:13	ぽーちき	きた	
80	00:00:13	鼠犬/チューケン	きたきた	
81	00:00:14	Yuuki Kamei	きたー	
82	00:00:14	Luce	わくわく	
83	00:00:14	no on	きたあああああああああああああ	
84	00:00:15	はてら	お	
85	00:00:15	陰獣	こんばんは	
86	00:00:15	しまこ	大魔王様がいらっしゃる！！	
87	00:00:15	あああいいい	もうやばい	
88	00:00:15	ジョナサン・グレーン	^_^大佐ァ！さっきぶりだな！	
89	00:00:16	マスターさん	ｷﾀ――(ﾟ∀ﾟ)――!!	
90	00:00:16	Amserd	大佐まで	
91	00:00:16	Ask Y	春のBAN祭りが…始まる！	
92	00:00:16	さいおーまる	お	
93	00:00:16	こいこいちゃんねる Koikoi Channel	21時だよ！	
94	00:00:17	譲友城星	ｗｗｗｗｗｗ	
95	00:00:17	0126キルノ	待機	
96	00:00:17	おしょう	おっ	
97	00:00:17	Charocharo/챠로	BAN BAN	
98	00:00:17	ハチ	きたー！	
99	00:00:17	もっけい	淫淫淫淫	
100	00:00:17	ビスケット・ココア	やったぜ。	
101	00:00:17	ぴねかっと	きた	
102	00:00:17	- 567	きたあああ	
103	00:00:18	暁に堕つ	大佐ァ！	
104	00:00:18	にぼっしー	始まった	
105	00:00:18	十手	いくぜいくぜいくぜいくぜ！	
106	00:00:18	阿久津零	はじまったーーーー	
108	00:00:19	ぎゅー肉	ざわ…ざわ	
109	00:00:19	史上最強のダニ	大乱○はまだかい？	
110	00:00:20	モネシロ	きたぁぁぁぁあ！	
111	00:00:20	aiwana ksk	こんばんは	
112	00:00:20	noboru hiraoka	もう草	
113	00:00:21	だるハチ	わくてか	
114	00:00:21	宗博隆	きちゃった	
115	00:00:21	Lucid/馬組み	何だこのメンツ！？	
116	00:00:21	らうらう	wwwwwww	
117	00:00:22	白菜	きたああああああああああ	
118	00:00:22	Ton-Tパイセン	大佐ァ！	
119	00:00:22	セイレイ	こんばんは！	
120	00:00:22	白猫きゃっとちゃん	やったぁぁぁ	
121	00:00:23	さらしな	お	
122	00:00:23	sin Kaz	これかぁ	
123	00:00:23	佐藤蛾次郎	BANされた？	
124	00:00:23	m m	こんばわ	
125	00:00:24	村上春樹	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	
126	00:00:24	にけこん	あっ	
127	00:00:24	さくらみず	来たあ！！	
128	00:00:24	KTY	もうはじまっとる！	
129	00:00:24	ふかふかマスク	きたー	
130	00:00:24	たこちゃんねる	きた	
131	00:00:25	如月諒	やべーぞ！！	
132	00:00:25	ぼたもん	きたわね	
133	00:00:25	marupop	はじまたー！	
134	00:00:25	DRDRだるでら	きたあああ	
135	00:00:25	RY U	こんばんわー	
136	00:00:25	サラダラサ	ひっどいコラボ名で草	
137	00:00:25	Alias[えいりあす]Teshi[てし]	！？	
138	00:00:26	れたれたす	草	
139	00:00:26	レオン	まってましたぁ	
140	00:00:26	K. U.	きたー	
141	00:00:26	kurokuma	大佐ぁ！	
142	00:00:27	始祖くらげ	きた！	
143	00:00:28	佐藤ぽんこつ犬	開幕BANはよ	
144	00:00:28	周恩来	きたああああああ	
145	00:00:29	sierak	あ	
146	00:00:29	てきとう	終わりの始まりだぁ	
147	00:00:29	ヴァンダイン	きたーーー	
148	00:00:29	Theia	始まった！！！	
149	00:00:29	potage10	始まってた！？	
150	00:00:29	犬薺。	ｷﾀｰ!!!!	
151	00:00:29	飼主.owner _blkbrudog	大佐ァ！	
152	00:00:29	斉藤マナ	こんばんはー	
153	00:00:30	しるびあサチオ	きたのだ	
154	00:00:30	むさし	BANRTAときいてとんできました	
155	00:00:31	やよん	なんだこのメンツはぁ！	
156	00:00:31	天地煉	今北産業	
157	00:00:31	はらまき	きたああ	
158	00:00:31	PulsedPolis	すげえ…	
159	00:00:32	鉄火巻団団長	大佐ァ！ホワイトアルバムとは通ですね！	
160	00:00:32	推すマン	おはこんばんちわ	
161	00:00:32	あぶりカルビン	きたきた	
162	00:00:33	ぷるる	大佐ァ！好き	
163	00:00:33	ズーズー	こんばんは	
164	00:00:33	ヨモギ	こんばんはー	
165	00:00:33	HAYASI_TW Lin	全員分MODかｗｗｗｗ	
166	00:00:33	りこった	こんばんはー！	
167	00:00:33	えびなチャンネル	神回	
168	00:00:33	こすふぃん	全員分MOD入れたのかやっぱり	
169	00:00:33	soichi ito	こんばんはー	
170	00:00:34	1 5	来たああああ	
171	00:00:34	タマたま	きた	
172	00:00:35	虚空 零	こんばんはぁ〜	
173	00:00:35	半額おてだま	！？	
174	00:00:35	タコスドン	はじまた！	
175	00:00:35	ももじろう	きたあああああああ	
176	00:00:35	R. Sisn	奇跡のカーニバル 開幕だ	NT$150.00
177	00:00:36	あます	こんばんわ	
178	00:00:36	TsuKada	ぬれぬれじゃねえかよ	
179	00:00:36	アリス	すげえ	
180	00:00:36	Σ- 12	ついに来てしまった也。	
